Symbol,Description,Technical Rating 1 day,Moving Averages Rating 1 day,Oscillators Rating 1 day,Relative Strength Index (14) 1 day,Momentum (10) 1 day,Awesome Oscillator 1 day,Commodity Channel Index (20) 1 day,"Stochastic (14,3,3) 1 day, %K","Stochastic (14,3,3) 1 day, %D",Candlestick Pattern 1 day,Market capitalization,Market capitalization - Currency
GE,GE Aerospace,Strong sell,Strong sell,Sell,25.394566554080328,-37.31999999999999,-7.545872352941132,-276.237535780774,12.032054310606265,27.160495316529136,,179035590246,USD
RTX,RTX Corporation,Strong sell,Strong sell,Sell,27.333098828633112,-14.920000000000002,0.10221352941167083,-288.00819632496285,22.740580336740404,42.00421401725201,,156806298074,USD
EADSY,Airbus SE,Sell,Strong sell,Sell,31.799939897909738,-5.119999999999997,-1.2588277294117844,-343.66616827226284,8.50542315970534,18.702407699892536,,128483780309.56824,USD
HON,Honeywell International Inc.,Strong sell,Strong sell,Sell,27.70206783418074,-19.129999999999995,-1.4186067647060838,-388.1027866490709,30.790886947594114,51.84765965263528,,123908158280.99998,USD
EADSF,Airbus SE,Strong sell,Strong sell,Sell,29.310114570912518,-24.760999999999996,-6.964766176470619,-386.81874344205465,8.90673706171378,17.997841255279287,,121780616920.12852,USD
BA/PA,"Boeing Company (The) Depositary Shares, each representing a 1/20th interest in a share of 6.00% Series A Mandatory Convertible Preferred Stock, par value $1.00",Strong sell,Strong sell,Sell,25.054235815835384,-11.990000000000002,-2.5980852941176806,-193.0664412567009,12.323920240774642,24.915419811658854,,102771333668,USD
BA,Boeing Company (The),Strong sell,Strong sell,Sell,25.559419717269762,-41.52000000000001,-9.015285294117632,-182.04516993350884,15.661031845534746,28.91226555474999,,102771333668,USD
LMT,Lockheed Martin Corporation,Strong sell,Strong sell,Sell,37.799606687173764,-7.550000000000011,-3.383169411765664,-90.83422506682963,38.98601398601396,43.82478632478629,,101722019585,USD
SAFRY,Safran SA,Sell,Strong sell,Sell,29.052580473303095,-8.489999999999995,-2.076279411764787,-295.81351131102696,9.557775116683038,17.114793531012534,,100531974869.09467,USD
SAFRF,Safran SA,Sell,Strong sell,Sell,32.8112285821782,-30.03,-8.29862911764701,-276.5788864897015,9.434569451230564,12.049714886914176,,100424432749.96489,USD
RYCEY,Rolls Royce Holdings plc,Sell,Strong sell,Sell,32.688479903865144,-2.1800000000000015,-0.08767205882352869,-304.69921035958794,17.353113850878454,27.54745668307527,,73257039785.8233,USD
RLLCF,Rolls Royce Holdings plc,Sell,Sell,Neutral,48.95943475501598,-0.0004000000000000002,0.0002164705882352967,-24.423337856172953,69.04761904761905,78.57142857142857,Shooting Star,73257039785.8233,USD
NOC,Northrop Grumman Corporation,Sell,Strong sell,Sell,45.16128192437808,-5.2000000000000455,29.36342794117661,-19.808049112014288,53.67840844561772,73.36945634084384,,70281766944.00002,USD
RYCEF,Rolls Royce Holdings plc,Sell,Strong sell,Sell,32.47296070588217,-2.1340000000000003,-0.07153544117647037,-301.1473746926891,19.783412572635996,30.480040264960703,,70002484286.38087,USD
TDG,Transdigm Group Inc.,Strong sell,Strong sell,Sell,30.340253165482252,-108.26999999999998,18.72031411764806,-223.21721070485296,41.01686895527297,64.94036424319104,,69424304769,USD
GD,General Dynamics Corporation,Strong sell,Strong sell,Sell,35.476895665528275,-13.400000000000034,9.593611764706054,-196.3071169040922,46.31454496188303,72.05234893036446,,67098133698.999985,USD
RNMBY,Rheinmetall AG,Sell,Sell,Sell,47.39710031878557,-27.649999999999977,29.545414705882365,-96.33840287773435,21.269017057619745,28.44164833580781,,61952925601.45221,USD
BAESY,BAE Systems PLC,Sell,Sell,Sell,44.53532885577017,-6.019999999999996,2.4287341176471813,-192.79654047486176,32.47711448225085,30.648784843500575,,58254828545.5521,USD
BAESF,BAE Systems PLC,Sell,Sell,Sell,45.73595561507549,-1.1588999999999992,0.6224573529411757,-152.14552571862316,23.23915737298641,21.10194134655102,Bearish Engulfing,56875380795.49325,USD
RNMBF,Rheinmetall AG,Sell,Sell,Sell,46.965821717279574,-147.5619999999999,148.0966249999999,-95.96116882645119,21.55392767290438,27.509465304295883,Bearish Engulfing,56654908390.04253,USD
MHVIY,Mitsubishi Heavy Industries Ltd.,Sell,Strong sell,Neutral,38.59367890138719,-8.05,0.7690147058823413,-120.83502218415124,10.77150752117899,15.425493174178031,,54531239993.44992,USD
THLEF,THALES,Neutral,Buy,Sell,58.17704536805005,-7.277499999999975,29.57096323529413,-70.00375575519274,45.169693200157695,42.9424703441982,"Hanging Man, Long Lower Shadow",54307546866.591,USD
THLLY,THALES,Neutral,Buy,Sell,52.53664193005892,-0.6000000000000014,4.434833823529381,-84.43219151628404,43.72340616528123,53.20939758980904,,54027354245.89592,USD
MHVYF,Mitsubishi Heavy Industries Ltd.,Sell,Strong sell,Sell,38.226459379236665,-4.4350000000000005,0.17672647058823188,-121.16103116632235,11.34155639766332,17.552699080891255,"Inverted Hammer, Long Upper Shadow",50864984057.61739,USD
HWM/P,Howmet Aerospace Inc. $3.75 Preferred Stock,Sell,Strong sell,Neutral,36.93402527547012,-11.570000000000007,-2.353292647058865,-239.05457832803432,9.981763275550984,13.569437633515612,,45496180635,USD
HWM,Howmet Aerospace Inc.,Sell,Strong sell,Neutral,32.084706942735565,-18.519999999999996,-3.9606240882351926,-264.03982050478317,29.424258041904633,45.734204568161694,,45496180634.99999,USD
AXON,"Axon Enterprise, Inc.",Strong sell,Strong sell,Sell,38.23746633021084,-62.870000000000005,-19.10700382352968,-200.3505257058182,42.49565719118055,48.22736297513777,,38091725658,USD
LHX,"L3Harris Technologies, Inc.",Strong sell,Strong sell,Sell,38.28347099608153,-5.9199999999999875,1.5595761764705571,-196.57449480051653,29.67430332140856,37.245170440979244,,37929963022.99999,USD
HEI,Heico Corporation,Strong sell,Strong sell,Sell,35.36447887783763,-19.78,8.792134999999917,-176.97169983093153,36.200678167806245,62.19110538211632,,29293704529,USD
HEI.A,Heico Corporation,Strong sell,Strong sell,Sell,35.82764944346428,-16.710000000000008,5.448103529411867,-172.0963015924752,30.239329504670298,53.842855425250946,,29293704528.999996,USD
FINMY,Leonardo S.P.A.,Sell,Sell,Sell,42.052869204763624,-3.137500000000003,1.08761764705881,-231.87144682963404,23.1601862056298,28.274228961852504,,25664890691.27095,USD
FINMF,Leonardo S.P.A.,Sell,Sell,Sell,40.68775355828737,-7.5,2.7867514705882,-232.44170239141266,35.01366449642314,44.85071425722356,,24928029079.967808,USD
DUAVF,DASSAULT AVIATION,Sell,Sell,Sell,45.76202220065308,-40.39999999999998,16.97791176470588,-140.80645481446214,32.8356545563913,35.89526710291515,,23738418520.257328,USD
SAABY,Saab AB,Neutral,Buy,Sell,50.683334877026624,-0.3000000000000007,1.8850208823529435,-82.95225689191554,46.69442228048181,59.65756899703391,,20697375114.906,USD
TDY,Teledyne Technologies Incorporated,Strong sell,Strong sell,Sell,23.671490589838626,-65.25,-11.36916294117566,-304.1603663261039,19.3136512638798,36.274803840800644,,20447760119,USD
SAABF,Saab AB,Neutral,Buy,Sell,52.0285175470093,0.30000000000000426,3.7901779411764878,-69.81475982249378,55.06393700148101,59.66388598231713,,20296892555.08395,USD
MTUAY,MTU Aero Engines AG,Strong sell,Strong sell,Neutral,31.487911738233393,-29.650000000000006,-5.814811764706036,-273.3941455478912,8.361349253756456,13.554191266761835,Spinning Top Black,17014999661.651,USD
MTUAF,MTU Aero Engines AG,Strong sell,Strong sell,Sell,39.18487476696008,-39.025000000000034,-11.03218823529403,-289.5356016198621,16.26043077511328,22.999761120609154,,16937548869.999996,USD
ESLT,Elbit Systems Ltd.,Neutral,Buy,Sell,49.938401822928064,-40.68000000000001,28.6220297058822,-39.31307551670658,33.781650469332774,43.44786015570238,,16545222652.83363,USD
SGGKF,Singapore Technologies Engineering Ltd.,Buy,Strong buy,Sell,64.75485763566871,1.7299999999999995,1.4557164705882375,102.07135923500128,87.77277141647163,89.42737957021446,,15892764320.852016,USD
SGGKY,Singapore Technologies Engineering Ltd.,Buy,Strong buy,Sell,64.35302106052313,8.149999999999999,10.0454044117647,68.14817153106766,96.11692844677138,93.11824446626702,,15614827918.935,USD
TXT,Textron Inc.,Strong sell,Strong sell,Sell,20.17078018988734,-12.36,-3.3069367647058243,-400.02949980986494,10.42660751702482,16.58827101023056,,11028022843,USD
CW,Curtiss-Wright Corporation,Strong sell,Strong sell,Neutral,30.58798760057195,-42.129999999999995,-9.803179705882258,-262.17947750703155,22.706710182660782,33.70463244337644,,10673367887,USD
FTAI,FTAI Aviation Ltd.,Strong sell,Strong sell,Sell,33.38241108934261,-18.91000000000001,-7.980345588235338,-221.9951611299229,38.91938041171144,59.721486838942496,,9057302488,USD
FTAIN,FTAI Aviation Ltd. - 8.25% Fixed-Rate Reset Series C Cumulative Perpetual Redeemable Preferred Shares,Strong sell,Strong sell,Sell,34.63020412018325,-0.5779999999999994,-0.254054411764713,-232.42277316582218,16.449539690811104,26.462712060679653,,9057302488,USD
FTAIM,FTAI Aviation Ltd. - 9.500% Fixed-Rate Reset Series D Cumulative Perpetual Redeemable Preferred Shares,Strong sell,Strong sell,Sell,33.688301551949664,-0.4800000000000004,-0.3866405882352488,-282.9350539865942,18.358864697006716,30.564977458301957,,9057302488,USD
BWXT,"BWX Technologies, Inc.",Strong sell,Strong sell,Sell,31.729584448717063,-10.14,-4.139552647058821,-277.68579337110407,29.723232685992585,40.26765729940413,,8156063433,USD
DRS,"Leonardo DRS, Inc.",Strong sell,Strong sell,Sell,38.61988944792104,-2.8500000000000014,0.8407144117646475,-141.80961759002224,37.14102172005936,47.74670430716913,,7994504081.000001,USD
CR,Crane Company,Strong sell,Strong sell,Sell,30.734257927565636,-15.599999999999994,-7.771578235294044,-378.78685849520605,29.559160020410733,42.8184928950972,,7882885457.999999,USD
ERJ,Embraer S.A.,Sell,Strong sell,Sell,29.97290405242275,-10.939999999999998,-2.992609117647106,-175.30780126121178,7.00469601214139,10.567720308140691,,7811917613.334,USD
RKLB,"Rocket Lab USA, Inc.",Sell,Strong sell,Sell,36.585648738859625,-2.5700000000000003,-2.121844411764709,-210.28185970514434,38.419125052647026,39.23021310509795,,7424533749.000001,USD
HAGHY,HENSOLDT AG,Sell,Sell,Sell,42.152634556359274,-6.4254999999999995,-0.2321626470588498,-166.02123838325417,8.781987185663661,10.447472302711509,,7370688228.749999,USD
HNSDF,HENSOLDT AG,Sell,Sell,Neutral,46.554302511548876,-22.745000000000005,4.639396176470598,-159.08388099614947,9.468647695794498,11.986988956414166,,7300177500,USD
HII,"Huntington Ingalls Industries, Inc.",Strong sell,Strong sell,Sell,38.59535880471139,-16.52000000000001,9.219675294117764,-197.2314795794941,26.88384763524863,44.27827523475083,,7256617661,USD
MLSPF,Melrose Industries PLC,Strong sell,Strong sell,Sell,32.92049935341939,-1.29,-1.1070558823529346,-205.1142433923603,13.21797644796925,17.39645918449095,Marubozu Black,6630515163.741177,USD
LOAR,Loar Holdings Inc.,Sell,Sell,Neutral,49.95041071021161,4.469999999999999,3.476912941176451,89.13694650133918,75.85838513943087,88.73597918123274,,6496533620,USD
BDRAF,Bombardier Inc.,Buy,Buy,Buy,48.56217679515365,4.8065,-5.519400955882382,1.629952572142416,54.9849574084763,47.669848565165296,,6022436343.5101795,USD
BOMBF,Bombardier Inc.,Sell,Strong sell,Neutral,46.38300175189667,-1.0940399999999997,-3.5647518235294076,-70.19727343177411,42.055716447630424,35.78340422142572,,5311998041.49061,USD
BDRPF,Bombardier Inc.,Neutral,Sell,Buy,42.1816183022358,-1.7100000000000009,-0.7217357352941214,-157.74609566671236,14.83074651801217,15.494629050241144,,5311998041.49061,USD
BDRXF,Bombardier Inc.,Neutral,Neutral,Sell,49.699082192657116,-0.5499999999999989,-0.06557382352942298,-36.06672441749558,62.69472454944684,57.90311551997153,Marubozu Black,5311998041.49061,USD
BDRBF,Bombardier Inc.,Strong sell,Strong sell,Sell,40.20822262532299,-5.190100000000001,-1.401272058823551,-145.64582926253192,56.238102656412174,63.33695557873157,,5268112348.773903,USD
MOG.A,Moog Inc.,Strong sell,Strong sell,Sell,27.47906673736736,-21.78,-4.422264705882725,-341.47619945128434,23.512109930239106,38.64995226154961,,4845969844.000001,USD
MOG.B,Moog Inc.,Sell,Strong sell,Neutral,33.68158982098811,-19.174299999999988,-17.50163147058808,-190.7724474389396,11.304685776144153,31.372153939038128,Marubozu White,4845969844,USD
RNKGF,RENK GROUP AG,Sell,Sell,Sell,50.80144691364259,-1.25,,-47.861296775710194,47.32691655437305,61.25291070670085,"Gravestone Doji, Long Upper Shadow",4299999888.784143,USD
KTOS,"Kratos Defense & Security Solutions, Inc.",Sell,Strong sell,Sell,41.46055957779936,-2.9899999999999984,0.7081897058823614,-135.25476727753076,31.893447552879937,31.391169793241804,,4252078268.9999995,USD
AMTM,"Amentum Holdings, Inc.",Strong sell,Strong sell,Neutral,42.42303284554375,-0.8500000000000014,-0.7530250000000045,-166.30766552836022,46.91760315272038,50.244487061470664,Doji,4250520728,USD
JOBY,"Joby Aviation, Inc.",Strong sell,Strong sell,Neutral,31.390933241527804,-1.2799999999999994,-0.7549708823529384,-234.13359827266538,17.389081176615036,17.531312903431072,,4222698986.9999995,USD
HXL,Hexcel Corporation,Strong sell,Strong sell,Neutral,25.620883326321618,-7.619999999999997,-5.537751470588276,-356.2315522337888,19.003680226575657,18.771049122936578,,3869945138.999999,USD
KRMN,Karman Holdings Inc.,Strong sell,Strong sell,Sell,36.14766458026169,-6.959999999999997,0.34112676470588355,-126.59118364550821,26.25065374202263,37.62354248209512,,3698244997,USD
SPR,"Spirit Aerosystems Holdings, Inc.",Strong sell,Strong sell,Sell,20.352869342911163,-6.579999999999998,-0.8607705882353329,-252.50519023862807,14.589377195067394,27.790684802499925,,3404235571,USD
ACHR,Archer Aviation Inc.,Sell,Strong sell,Neutral,33.335318827661084,-2.5200000000000005,-1.2423897058823563,-143.16540881298207,14.242816529596917,13.464653268763618,,3363315606.9999995,USD
AVAV,"AeroVironment, Inc.",Strong sell,Strong sell,Neutral,30.326861590217973,-13.36,-14.621332058823398,-270.58718309490564,29.82375856751249,37.92083856583452,,3150633702,USD
MIR,"Mirion Technologies, Inc.",Strong sell,Strong sell,Neutral,31.355210213467927,-2.5200000000000014,-0.8843352941176761,-238.12935716061295,25.50893299396292,31.197025778829882,,2941098858,USD
OSIS,"OSI Systems, Inc.",Sell,Strong sell,Sell,35.86902881676967,-19.319999999999993,-7.163161764706359,-148.535041623061,33.75768482818071,54.017213779117476,,2930803196,USD
QNTQY,Qinetiq Group Plc.,Strong sell,Strong sell,Sell,42.32155742232384,0.09999999999999787,-1.9754235294117564,-62.15271795776542,39.17855123856511,30.00644550656114,,2719131177.0017996,USD
QNTQF,Qinetiq Group Plc.,Sell,Strong sell,Sell,42.229957670638505,-1.9450000000000003,-0.3290588235294081,-70.21187608361504,13.079999999999998,14.446183574879223,,2683759773.1425543,USD
MRCY,Mercury Systems Inc,Sell,Sell,Neutral,46.749289791507984,-1.6700000000000017,-0.8337776470589588,-64.089556991108,45.65217391304347,43.19847552037529,,2603291968,USD
TGI,"Triumph Group, Inc.",Neutral,Neutral,Sell,49.068620311293465,-0.33999999999999986,0.004558823529400513,-276.81808487948115,47.47005091344702,59.95174741401137,,1942398470.9999998,USD
AIR,AAR Corp.,Strong sell,Strong sell,Neutral,23.346848621211123,-17.85000000000001,-9.47900441176472,-174.8952264131657,9.548922798181222,10.705248582556779,,1808078457.0000002,USD
CMGMF,Chemring Group Plc.,Buy,Strong buy,Neutral,54.14121531836829,0.2600000000000007,0.13497352941176288,52.32537420768571,29.922447270851663,42.60919736138312,,1377245945.4163322,USD
CMGMY,Chemring Group Plc.,Sell,Sell,Sell,48.56351235100443,0.03500000000000014,-0.0802117647058882,-72.42536005740925,43.14626507937266,32.570692765498755,,1318820396.3583,USD
LUNR,"Intuitive Machines, Inc.",Sell,Strong sell,Neutral,35.074624968451786,-0.21999999999999975,-3.5256249999999945,-94.71568804364425,34.49564053789269,37.25682218508011,,1225055474.9999998,USD
BYPLF,Bodycote Plc,Strong sell,Strong sell,Sell,41.866306954246305,-2.030099999999999,-0.3996281764705776,-136.9759175532992,31.24237899660712,24.30421276499274,,1218358410.8168173,USD
CDRE,"Cadre Holdings, Inc.",Sell,Strong sell,Neutral,31.050046581395037,-3,-3.278149999999986,-142.6882523448472,14.082940069518399,13.903268709904514,Spinning Top White,1143926981,USD
MTASF,MONTANA AEROSPACE AG,,,,,,,,,,,1119212853.2580645,USD
EVEX,"Eve Holding, Inc.",Sell,Strong sell,Neutral,41.855423567254455,-0.25,-0.46482352941175975,-97.76852815354339,43.38899320182093,43.201933243769,Bullish Engulfing,991155555,USD
DCO,Ducommun Incorporated,Strong sell,Strong sell,Sell,27.18411360199613,-4.57,-2.0045623529411003,-320.569939545835,25.2058725254777,31.057884934748447,,806485083,USD
ATRO,Astronics Corporation,Sell,Sell,Neutral,40.56600289543365,-3.030000000000001,0.7880750000000134,-246.11834814047813,19.023912615001212,25.6868633563848,,790066949.0000001,USD
