Symbol,Description,Industry,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Volume Change % 1 hour,Volume Change % 1 day,Volume Change 1 week,Volume Change % 1 month,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY",Analyst Rating,Moving Averages Rating 1 day,Oscillators Rating 1 day,Technical Rating 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Dividend yield %, Trailing 12 months",Sector
RYCEY,Rolls Royce Holdings plc,Aerospace & defense,10.75,USD,2.28353949,9773245,-23.80149631,-34.9914629,20041188,-41.9030063,0.3806,USD,6.70030838,Buy,Strong buy,Neutral,Buy,1.76239786,87732385629.3816,USD,28.24487651,0,Electronic technology
HON,Honeywell International Inc.,Aerospace & defense,214.52,USD,1.54312222,5682735,125.28094577,12.69168196,7916999,-69.29296374,8.7109,USD,2.83201511,Buy,Buy,Buy,Buy,1.15372678,139173662911,USD,24.62661723,2.06041,Electronic technology
RTX,RTX Corporation,Aerospace & defense,128.4,USD,0.09354537,6418493,19.78041462,2.56093422,4985276,-66.19644563,3.5528,USD,58.71342417,Buy,Strong buy,Neutral,Buy,1.09531194,171044559739.99997,USD,36.14050889,1.96262,Electronic technology
ATRO,Astronics Corporation,Aerospace & defense,24.45,USD,-0.20408163,1060396,116.78872811,-5.01112119,4460542,10.76412663,-0.4636,USD,43.20715423,Buy,Strong buy,Sell,Buy,1.19491539,864588358,USD,,0,Electronic technology
TXT,Textron Inc.,Aerospace & defense,75.42,USD,2.79405752,2577518,106.88462652,65.97506045,4175076,-57.21254061,4.3216,USD,-5.40439969,Buy,Buy,Buy,Buy,1.76153464,13697849899,USD,17.45186968,0.106073,Electronic technology
GD,General Dynamics Corporation,Aerospace & defense,271.56,USD,2.64978265,1979005,157.12122054,-4.67073674,3089554,-63.87477156,13.6356,USD,13.35794094,Buy,Strong buy,Buy,Buy,0.99116518,73416454181,USD,19.91551527,2.09162,Electronic technology
SAABY,Saab AB,Aerospace & defense,18.02,USD,-3.89333333,603075,-60.3813654,48.07344315,2055445,35.14823306,0.3646,USD,23.21730314,,Strong buy,Sell,Buy,1.77659098,18801614201.3418,USD,49.42402633,0.226378,Electronic technology
FINMY,Leonardo S.P.A.,Aerospace & defense,23.345,USD,-6.54523619,229183,-71.14886409,-32.34989388,1734465,85.41494124,0.9284,USD,21.16940747,Buy,Strong buy,Neutral,Buy,0.84336622,26795797370.981403,USD,25.14541146,0.415784,Electronic technology
MHVIY,Mitsubishi Heavy Industries Ltd.,Aerospace & defense,34.05,USD,1.64179104,916034,-74.24905358,97.78173135,1599094,30.37567977,1.0066,USD,16.65314637,,Strong buy,Neutral,Strong buy,4.22930086,56523654701.42674,USD,33.82674349,0,Electronic technology
LHX,"L3Harris Technologies, Inc.",Aerospace & defense,220.1,USD,2.95149446,1868528,140.11615475,24.01377836,1539194,-70.68475889,7.8799,USD,22.31880908,Buy,Strong buy,Buy,Buy,1.29407852,41447877944,USD,27.93182655,2.10813,Electronic technology
LMT,Lockheed Martin Corporation,Aerospace & defense,473.65,USD,2.63271939,2169135,15.49153063,55.40676568,1452362,-70.76752866,22.2696,USD,-19.15721608,Buy,Buy,Buy,Buy,1.27769319,111490534851.00002,USD,21.2689047,2.69186,Electronic technology
BAESF,BAE Systems PLC,Aerospace & defense,20.25,USD,-4.43605474,373931,251.53583618,174.71898556,994390,34.82518831,0.80157977,USD,4.16505302,Buy,Strong buy,Neutral,Buy,2.40436544,60711067051.38844,USD,25.2626136,1.97255,Electronic technology
RNMBY,Rheinmetall AG,Aerospace & defense,241.39,USD,-6.69475474,323308,-54.98711815,95.25670216,863734,-31.09550704,2.7582,USD,14.50039437,,Strong buy,Neutral,Buy,2.0835366,52831853900.51197,USD,87.51722138,0.354919,Electronic technology
THLLY,THALES,Aerospace & defense,51.44,USD,-5.10975835,141134,102.35407933,-61.53181515,821424,-13.73086013,1.0859,USD,2.98748103,,Strong buy,Neutral,Buy,0.8162432,52459888059.01141,USD,47.37084446,0.861282,Electronic technology
LDOS,"Leidos Holdings, Inc.",Aerospace & defense,139.24,USD,4.64452127,2539340,77.59707347,70.48660392,559383,-71.9280969,9.2365,USD,550.04574565,Buy,Buy,Buy,Buy,1.36668392,18263745829,USD,15.07497429,1.106,Electronic technology
ESLT,Elbit Systems Ltd.,Aerospace & defense,357.03,USD,0.9243555,55915,91.25,-21.75561837,296241,-16.25291652,5.82628717,USD,2.102742,Neutral,Strong buy,Buy,Strong buy,0.95984001,15922577272.555273,USD,61.2791628,0.578457,Electronic technology
TDG,Transdigm Group Inc.,Aerospace & defense,1341.59,USD,-0.22979445,329033,42.94191487,21.3825898,270640,-75.47359037,28.3432,USD,20.32518945,Buy,Strong buy,Buy,Buy,1.47671866,75242519287,USD,47.33375201,0,Electronic technology
NOC,Northrop Grumman Corporation,Aerospace & defense,486.52,USD,2.38215488,1027327,65.79763834,9.09512786,229544,-72.20835447,28.4106,USD,110.96301357,Buy,Strong buy,Buy,Strong buy,0.86188137,70426522605.00002,USD,17.12459434,1.65461,Electronic technology
