Symbol,Description,Industry,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Volume Change % 1 hour,Volume Change % 1 day,Volume Change 1 week,Volume Change % 1 month,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY",Analyst Rating,Moving Averages Rating 1 day,Oscillators Rating 1 day,Technical Rating 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Dividend yield %, Trailing 12 months",Sector
ATROB,Astronics Corp.,Aerospace & defense,24.9,USD,3.75,111,-66.66666667,-95.26248399,18159,1264.20581655,-0.4636,USD,43.20715423,Buy,Strong buy,Neutral,Buy,0.04507614,890975240.4838709,USD,,0,Electronic technology
DUAVF,DASSAULT AVIATION,Aerospace & defense,326.01,USD,2.51886792,494,87.71929825,-71.24563446,-18275,501.34751773,12.18930141,USD,28.92104718,Neutral,Strong buy,Buy,Strong buy,0.18841298,25457113444.26048,USD,26.74558525,1.16932686,Electronic technology
QNTQY,Qinetiq Group Plc.,Aerospace & defense,26.72,USD,-3.88489209,6885,-85.71428571,-22.80524723,-44055,445.72095436,1.2078,USD,35.57077113,,Strong buy,Neutral,Buy,0.65009867,3681631669.8112,USD,22.12286802,1.3313705,Electronic technology
NSKFF,Kongsberg Gruppen ASA,Aerospace & defense,144.2886,USD,2.49225742,281,-81.20300752,-72.79767667,-7608,427.35703246,2.56000569,USD,23.7351375,Neutral,Strong buy,Buy,Strong buy,0.24920184,25381026561.82979,USD,56.36260906,0.90614887,Electronic technology
SAABF,Saab AB,Aerospace & defense,38.705,USD,0.13867544,4861,-97.09471238,-90.5361732,-109917,365.83650979,0.695718,USD,12.19939179,Buy,Strong buy,Neutral,Buy,0.19294813,20700691079.74688,USD,55.63317321,0.41731873,Electronic technology
QNTQF,Qinetiq Group Plc.,Aerospace & defense,6.825,USD,-1.79856115,1438,-48.67951463,-50,-8627,318.40446169,0.3189222,USD,44.70168052,Buy,Strong buy,Neutral,Buy,0.64801045,3769648120.5436897,USD,21.40020356,1.6407767,Electronic technology
HNSDF,HENSOLDT AG,Aerospace & defense,74,USD,5.05320093,2259,447.97843666,324.62406015,-8735,245.81764952,0.16623211,USD,-77.68807377,Buy,Strong buy,Buy,Strong buy,1.46774089,8547000201.453982,USD,445.16067723,0.61871616,Electronic technology
FINMF,Leonardo S.P.A.,Aerospace & defense,47.84,USD,-1.82639031,3590,123,-37.23776224,-236695,214.22450831,1.83943438,USD,13.21224298,Buy,Strong buy,Neutral,Buy,0.12464499,27516310097.773716,USD,26.00799497,0.64,Electronic technology
CMGMY,Chemring Group Plc.,Aerospace & defense,5.38,USD,-4.60992908,8577,-52.77449823,-63.24090344,-52629,178.35944273,0.1808,USD,856.61375661,,Strong buy,Neutral,Buy,0.34233781,1373086504.0528998,USD,29.75663717,1.52834119,Electronic technology
CZGZF,CZG CESKA ZBROJOVKA GROUP SE,Aerospace & defense,32.5963,USD,0.21921599,159,-2.53164557,-15.42553191,-29,162.87878788,1.19145243,USD,-57.05759394,Strong buy,Strong buy,Buy,Strong buy,0.84619478,1134004789.8964157,USD,27.35845698,4.03768506,Electronic technology
FINMY,Leonardo S.P.A.,Aerospace & defense,23.62,USD,-1.17154812,98016,178.97166842,-69.91196081,-1631134,139.41780612,0.9284,USD,21.16940747,Buy,Strong buy,Neutral,Buy,0.29902044,27454766511.2256,USD,25.44161999,0.40840899,Electronic technology
KWHIY,Kawasaki Heavy Industries Ltd.,Aerospace & defense,23.55,USD,4.4475589,10354,-34.09961686,-12.87445305,-337764,83.33039911,1.3111,USD,,Buy,Strong buy,Buy,Strong buy,0.21642796,9513447622.877508,USD,17.96201663,0.91299003,Electronic technology
SAABY,Saab AB,Aerospace & defense,19.28,USD,0,98642,-15.30553499,-65.38111934,-1977609,80.45811174,0.3646,USD,23.21730314,,Strong buy,Buy,Strong buy,0.22272956,20382444361.7494,USD,52.87986835,0.21160032,Electronic technology
MHVYF,Mitsubishi Heavy Industries Ltd.,Aerospace & defense,15.9101,USD,2.84486102,6935,122.45430809,-5.82563824,-75786,66.30053155,0.48443357,USD,13.70008014,Strong buy,Strong buy,Buy,Buy,0.35147559,53487573222.41447,USD,32.8426869,0.99352052,Electronic technology
BAESF,BAE Systems PLC,Aerospace & defense,20.448,USD,1.94182018,103710,-13.17272727,59.4238544,-1120826,61.62364042,0.80157977,USD,4.16505302,Buy,Strong buy,Buy,Strong buy,0.58949549,61300473563.05021,USD,25.50962582,1.96128213,Electronic technology
HAGHY,HENSOLDT AG,Aerospace & defense,35.85,USD,-0.96685083,10772,-89.57947959,-42.12336127,-242714,59.06572573,0.0775,USD,-78.44827586,,Strong buy,Neutral,Buy,0.21998399,8146877700.02304,USD,462.58064516,0.53833588,Electronic technology
CMGMF,Chemring Group Plc.,Aerospace & defense,5.43,USD,0.02947461,400,0,-89.40397351,-79311,49.37721425,0.18243595,USD,773.27031772,Strong buy,Strong buy,Neutral,Buy,0.03069014,1465784843.0763357,USD,29.76387055,1.83206107,Electronic technology
MHVIY,Mitsubishi Heavy Industries Ltd.,Aerospace & defense,33.885,USD,8.36264791,103924,149.79280262,-20.86864487,-1977151,49.146403,1.0066,USD,16.65314637,,Strong buy,Buy,Strong buy,0.35466715,52642266441.75037,USD,33.66282535,0,Electronic technology
ATRO,Astronics Corporation,Aerospace & defense,24.525,USD,-0.2643351,112560,-22.16112327,-82.75320504,-5308655,33.3248209,-0.4636,USD,43.20715423,Buy,Strong buy,Neutral,Buy,0.1225121,862925041.7659618,USD,,0,Electronic technology
ESLT,Elbit Systems Ltd.,Aerospace & defense,351.6,USD,-0.33166086,21223,10.81560284,-50.03649034,-296186,12.90753007,5.82628717,USD,2.102742,Neutral,Strong buy,Sell,Buy,0.30168333,15680413884.047926,USD,60.3471799,0.58411903,Electronic technology
THLLY,THALES,Aerospace & defense,51.95,USD,0.57304371,39670,-5.27061491,-57.98693115,-1072721,2.27222112,1.0859,USD,2.98748103,,Strong buy,Buy,Strong buy,0.2134748,52625829928.05216,USD,47.84050097,0.86408602,Electronic technology
THLEF,THALES,Aerospace & defense,263.13,USD,3.14778518,1530,-64.58087367,-31.05002253,-12572,-0.30281059,5.20022063,USD,-3.39441559,Buy,Strong buy,Buy,Strong buy,0.65533045,54077369868.66647,USD,50.59977623,1.46996165,Electronic technology
RYCEY,Rolls Royce Holdings plc,Aerospace & defense,10.25,USD,3.48308935,3071688,-29.9299996,-68.06896806,-12812374,-1.78569273,0.3806,USD,6.70030838,Buy,Strong buy,Buy,Strong buy,0.37325972,82211092944.5029,USD,26.93116132,0,Electronic technology
KBGGY,Kongsberg Gruppen ASA,Aerospace & defense,73.53,USD,0.7260274,2777,557.82312925,-1.48989003,-38148,-8.89619262,1.3539,USD,36.07035176,,Strong buy,Neutral,Buy,0.4569689,25444436647.276657,USD,54.30977177,0.53464044,Electronic technology
GGRGF,GROUPE GORGE SA,Aerospace & defense,30.32,USD,0.39735099,113,-80,-77.4,402,-9.58702065,-0.85164751,USD,-152.00119279,Strong buy,Strong buy,Buy,Buy,0.58518902,521931290.09968454,USD,,0,Electronic technology
